event_id,source_layer_idx,target_layer_idx,prefetch_expert_count,prefetch_resident_expert_count,issued_load_expert_count,prefetch_redundant_candidate_ratio,cache_load_size,prefetch_size
2863,1,2,8,6,2,0.75,16,8
2869,2,3,8,7,1,0.875,16,8
2875,3,4,8,8,0,1.0,16,8
2885,4,5,8,8,0,1.0,16,8
2893,5,6,8,6,2,0.75,16,8
2901,6,7,8,7,1,0.875,16,8
2911,7,8,8,6,2,0.75,16,8
2921,8,9,8,7,1,0.875,16,8
2929,9,10,8,6,2,0.75,16,8
2939,10,11,8,7,1,0.875,16,8
2945,11,12,8,8,0,1.0,16,8
2957,12,13,8,6,2,0.75,16,8
2971,13,14,8,5,3,0.625,16,8
2983,14,15,8,5,3,0.625,16,8
2989,15,16,8,8,0,1.0,16,8
2995,16,17,8,7,1,0.875,16,8
3001,17,18,8,8,0,1.0,16,8
3013,18,19,8,6,2,0.75,16,8
3023,19,20,8,5,3,0.625,16,8
3029,20,21,8,8,0,1.0,16,8
3035,21,22,8,8,0,1.0,16,8
3043,22,23,8,7,1,0.875,16,8
3049,23,24,8,8,0,1.0,16,8
3057,24,25,8,8,0,1.0,16,8
3069,25,26,8,5,3,0.625,16,8
3094,1,2,8,5,3,0.625,16,8
3108,2,3,8,5,3,0.625,16,8
3124,3,4,8,4,4,0.5,16,8
3138,4,5,8,5,3,0.625,16,8
3152,5,6,8,4,4,0.5,16,8
3168,6,7,8,3,5,0.375,16,8
3180,7,8,8,5,3,0.625,16,8
3192,8,9,8,5,3,0.625,16,8
3208,9,10,8,3,5,0.375,16,8
3226,10,11,8,3,5,0.375,16,8
3234,11,12,8,6,2,0.75,16,8
3244,12,13,8,5,3,0.625,16,8
3258,13,14,8,4,4,0.5,16,8
3268,14,15,8,5,3,0.625,16,8
3278,15,16,8,5,3,0.625,16,8
3292,16,17,8,6,2,0.75,16,8
3304,17,18,8,6,2,0.75,16,8
3314,18,19,8,4,4,0.5,16,8
3326,19,20,8,6,2,0.75,16,8
3336,20,21,8,6,2,0.75,16,8
3348,21,22,8,5,3,0.625,16,8
3362,22,23,8,5,3,0.625,16,8
3370,23,24,8,7,1,0.875,16,8
3386,24,25,8,5,3,0.625,16,8
3396,25,26,8,5,3,0.625,16,8
3415,1,2,8,6,2,0.75,16,8
3425,2,3,8,5,3,0.625,16,8
3429,3,4,8,7,1,0.875,16,8
3435,4,5,8,7,1,0.875,16,8
3439,5,6,8,7,1,0.875,16,8
3445,6,7,8,6,2,0.75,16,8
3451,7,8,8,6,2,0.75,16,8
3459,8,9,8,5,3,0.625,16,8
3467,9,10,8,7,1,0.875,16,8
3471,10,11,8,7,1,0.875,16,8
3479,11,12,8,7,1,0.875,16,8
3487,12,13,8,7,1,0.875,16,8
3501,13,14,8,6,2,0.75,16,8
3509,14,15,8,7,1,0.875,16,8
3515,15,16,8,8,0,1.0,16,8
3527,16,17,8,5,3,0.625,16,8
3539,17,18,8,6,2,0.75,16,8
3553,18,19,8,5,3,0.625,16,8
3565,19,20,8,5,3,0.625,16,8
3575,20,21,8,6,2,0.75,16,8
3587,21,22,8,5,3,0.625,16,8
3597,22,23,8,7,1,0.875,16,8
3609,23,24,8,6,2,0.75,16,8
3617,24,25,8,7,1,0.875,16,8
3629,25,26,8,7,1,0.875,16,8
3646,1,2,8,7,1,0.875,16,8
3656,2,3,8,7,1,0.875,16,8
3664,3,4,8,8,0,1.0,16,8
3668,4,5,8,8,0,1.0,16,8
3676,5,6,8,6,2,0.75,16,8
3682,6,7,8,8,0,1.0,16,8
3696,7,8,8,6,2,0.75,16,8
3700,8,9,8,8,0,1.0,16,8
3710,9,10,8,6,2,0.75,16,8
3716,10,11,8,7,1,0.875,16,8
3720,11,12,8,7,1,0.875,16,8
3728,12,13,8,6,2,0.75,16,8
3736,13,14,8,7,1,0.875,16,8
3742,14,15,8,8,0,1.0,16,8
3748,15,16,8,7,1,0.875,16,8
3758,16,17,8,7,1,0.875,16,8
3768,17,18,8,7,1,0.875,16,8
3778,18,19,8,5,3,0.625,16,8
3788,19,20,8,6,2,0.75,16,8
3796,20,21,8,7,1,0.875,16,8
3808,21,22,8,6,2,0.75,16,8
3820,22,23,8,6,2,0.75,16,8
3830,23,24,8,6,2,0.75,16,8
3838,24,25,8,6,2,0.75,16,8
3844,25,26,8,6,2,0.75,16,8
3857,1,2,8,8,0,1.0,16,8
3865,2,3,8,5,3,0.625,16,8
3871,3,4,8,7,1,0.875,16,8
3875,4,5,8,7,1,0.875,16,8
3879,5,6,8,8,0,1.0,16,8
3889,6,7,8,6,2,0.75,16,8
3891,7,8,8,8,0,1.0,16,8
3899,8,9,8,5,3,0.625,16,8
3905,9,10,8,7,1,0.875,16,8
3911,10,11,8,7,1,0.875,16,8
3917,11,12,8,6,2,0.75,16,8
3921,12,13,8,7,1,0.875,16,8
3925,13,14,8,7,1,0.875,16,8
3933,14,15,8,5,3,0.625,16,8
3939,15,16,8,7,1,0.875,16,8
3949,16,17,8,6,2,0.75,16,8
3953,17,18,8,7,1,0.875,16,8
3963,18,19,8,6,2,0.75,16,8
