policy,stage,draft_mode,draft_fidelity,lookahead_events,accept_prob,assignments,avg_gate_score,cache_hit_assignment_ratio,cache_hit_assignments,cache_miss_assignments,demand_entries_evicted_by_prefetch,demand_load_ratio,demand_loads,estimated_demand_bytes_mb,estimated_demand_stall_steps,estimated_prefetch_bytes_mb,estimated_total_bytes_mb,eviction_damage_assignment_ratio,eviction_damage_assignments,evictions,gate_score_samples,gate_score_sum,late_prefetch_assignments,late_prefetch_experts,placement_events,prefetch_budget_rejected,prefetch_candidates,prefetch_evicted_unused,prefetch_evicted_unused_ratio,prefetch_evictions,prefetch_gate_rejected,prefetch_issued,prefetch_issued_candidate_ratio,prefetch_late_assignment_ratio,prefetch_load_ratio,prefetch_ready,prefetch_redundant_candidate_ratio,prefetch_redundant_pending,prefetch_redundant_resident,prefetch_rejected_candidate_ratio,prefetch_timely_useful_assignment_ratio,prefetch_timely_useful_assignments,prefetch_timely_useful_experts,prefetch_timely_useful_issued_ratio,prefetch_unused,prefetch_unused_issued_ratio,run_count,transfer_latency,unique_demands
always,decode,noisy_oracle,0.7,32,0.75,10920,0.0,0.9514652014652014,10390,530,125,0.048534798534798536,530,530.0,2120.0,12543.0,13073.0,0.5660377358490566,300,9597,0,0,356,356,1820,58465,289475,5708,0.4550745435701188,9466,0,12543,0.04333016668106054,0.0326007326007326,1.1486263736263735,12543,0.7547007513602211,10716,207751,0.20196908195871838,0.9353479853479854,10214,5311,0.42342342342342343,7067,0.5634218289085545,3,4,10920
budgeted,decode,noisy_oracle,0.7,32,0.75,10920,0.0,0.9514652014652014,10390,530,125,0.048534798534798536,530,530.0,2120.0,12543.0,13073.0,0.5660377358490566,300,9597,0,0,356,356,1820,58465,289475,5708,0.4550745435701188,9466,0,12543,0.04333016668106054,0.0326007326007326,1.1486263736263735,12543,0.7547007513602211,10716,207751,0.20196908195871838,0.9353479853479854,10214,5311,0.42342342342342343,7067,0.5634218289085545,3,4,10920
no_prefetch,decode,noisy_oracle,0.7,32,0.75,10920,0.0,0.6450549450549451,7044,3876,0,0.35494505494505496,3876,3876.0,15504.0,0.0,3876.0,0.18008255933952527,698,1317,0,0,0,0,1820,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,3,4,10920
utility_gate,decode,noisy_oracle,0.7,32,0.75,10920,-0.5387875029177279,0.6452380952380953,7046,3874,0,0.3547619047619048,3874,3874.0,15496.0,1426.0,5300.0,0.17914300464636035,694,1315,114491,-61686.31999655359,1426,1426,1820,448,289475,65,0.0455820476858345,164,113065,1426,0.004926159426548061,0.1305860805860806,0.1305860805860806,1426,0.6029398048190691,341,174195,0.39213403575438294,0.33489010989010987,3657,1011,0.708976157082749,0,0.0,3,4,10920
