workload,policy,accesses,cache_hits,cache_hit_ratio,cache_hit_from_prefetch,prefetch_candidates,prefetch_rejected,prefetch_redundant,prefetch_already_pending,prefetch_issued,prefetch_used_timely,prefetch_used_late,prefetch_unused,timely_useful_candidate_ratio,timely_useful_issued_ratio,redundant_prefetch_ratio,late_prefetch_ratio,unused_prefetch_ratio,issued_late_prefetch_ratio,issued_unused_prefetch_ratio,ready_before_consume_ratio,stall_time,bytes_moved,prefetch_bytes_moved,demand_bytes_moved,evictions,prefetch_evictions,damaging_prefetch_evictions,eviction_damage_ratio,issue_f1_proxy,phenomenon_flag
router_trace_deepseek_v2,no_prefetch,2652,2069,0.7801659125188537,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2332.0,583,0,583,535,0,0,0.0,0.0,False
router_trace_deepseek_v2,history_prefetch,2652,2093,0.7892156862745098,64,5180,0,4750,293,137,64,59,14,0.012355212355212355,0.46715328467153283,0.916988416988417,0.01138996138996139,0.002702702702702703,0.4306569343065693,0.10218978102189781,0.5203252032520326,2153.0,637,137,500,589,78,47,0.6025641025641025,0.017772840877534016,True
router_trace_deepseek_v2,utility_gate,2652,2069,0.7801659125188537,0,5180,745,4435,0,0,0,0,0,0.0,0.0,0.8561776061776062,0.0,0.0,0.0,0.0,0.0,2332.0,583,0,583,535,0,0,0.0,0.0,True
