event_id,source_layer_idx,target_layer_idx,prefetch_expert_count,prefetch_resident_expert_count,issued_load_expert_count,prefetch_redundant_candidate_ratio,cache_load_size,prefetch_size
2861,1,2,4,3,1,0.75,16,4
2865,2,3,4,4,0,1.0,16,4
2871,3,4,4,4,0,1.0,16,4
2881,4,5,4,4,0,1.0,16,4
2887,5,6,4,3,1,0.75,16,4
2893,6,7,4,4,0,1.0,16,4
2899,7,8,4,4,0,1.0,16,4
2907,8,9,4,3,1,0.75,16,4
2911,9,10,4,4,0,1.0,16,4
2917,10,11,4,4,0,1.0,16,4
2923,11,12,4,4,0,1.0,16,4
2933,12,13,4,3,1,0.75,16,4
2943,13,14,4,3,1,0.75,16,4
2953,14,15,4,2,2,0.5,16,4
2957,15,16,4,4,0,1.0,16,4
2961,16,17,4,4,0,1.0,16,4
2967,17,18,4,4,0,1.0,16,4
2975,18,19,4,4,0,1.0,16,4
2983,19,20,4,2,2,0.5,16,4
2989,20,21,4,4,0,1.0,16,4
2995,21,22,4,4,0,1.0,16,4
3001,22,23,4,4,0,1.0,16,4
3007,23,24,4,4,0,1.0,16,4
3015,24,25,4,4,0,1.0,16,4
3021,25,26,4,4,0,1.0,16,4
3044,1,2,4,2,2,0.5,16,4
3054,2,3,4,3,1,0.75,16,4
3066,3,4,4,2,2,0.5,16,4
3078,4,5,4,2,2,0.5,16,4
3084,5,6,4,4,0,1.0,16,4
3096,6,7,4,2,2,0.5,16,4
3106,7,8,4,4,0,1.0,16,4
3114,8,9,4,3,1,0.75,16,4
3124,9,10,4,2,2,0.5,16,4
3136,10,11,4,2,2,0.5,16,4
3140,11,12,4,4,0,1.0,16,4
3150,12,13,4,3,1,0.75,16,4
3160,13,14,4,2,2,0.5,16,4
3170,14,15,4,2,2,0.5,16,4
3178,15,16,4,2,2,0.5,16,4
3188,16,17,4,4,0,1.0,16,4
3198,17,18,4,3,1,0.75,16,4
3204,18,19,4,2,2,0.5,16,4
3212,19,20,4,3,1,0.75,16,4
3220,20,21,4,2,2,0.5,16,4
3232,21,22,4,3,1,0.75,16,4
3244,22,23,4,2,2,0.5,16,4
3254,23,24,4,3,1,0.75,16,4
3266,24,25,4,3,1,0.75,16,4
3276,25,26,4,3,1,0.75,16,4
3293,1,2,4,3,1,0.75,16,4
3299,2,3,4,3,1,0.75,16,4
3303,3,4,4,3,1,0.75,16,4
3309,4,5,4,4,0,1.0,16,4
3313,5,6,4,4,0,1.0,16,4
3319,6,7,4,2,2,0.5,16,4
3321,7,8,4,4,0,1.0,16,4
3329,8,9,4,2,2,0.5,16,4
3335,9,10,4,3,1,0.75,16,4
3343,10,11,4,2,2,0.5,16,4
3351,11,12,4,3,1,0.75,16,4
