run,cache_size,prefetch_size,decode_events,placement_events,selected_experts,unique_experts,avg_same_layer_jaccard,live_cache_hit,live_assignment_hit,cpu_assignment_ratio,prefetch_candidates,prefetch_redundant_ratio,prefetch_issued,prefetch_issued_candidate_ratio,prefetch_candidate_used_next_ratio,prefetch_issued_used_next_ratio,prefetch_candidate_assignment_coverage,prefetch_issued_assignment_coverage,loads,evicts,evictions_per_load,router_cache_hit,router_timely_candidate,router_timely_issued,router_redundant_ratio,router_issued_late,router_issued_unused,router_stall,router_bytes,nopref_router_cache_hit,nopref_router_stall,nopref_router_bytes
cache16_prefetch0,16,0,234,234,1404,64,0.2645729270729278,0.5028490028490028,0.5028490028490028,0.16880341880341881,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1298,882,0.6795069337442219,0.2571225071225071,0.028929188255613126,0.1536697247706422,0.45379965457685667,0.3795871559633027,0.46674311926605505,3686.0,1584.0,0.21225071225071226,4424.0,1106.0
cache16_prefetch4,16,4,234,234,1404,64,0.260083666333667,0.4985754985754986,0.4985754985754986,0.17094017094017094,900,0.8522222222222222,133,0.14777777777777779,0.25666666666666665,0.14285714285714285,0.1711111111111111,0.014074074074074074,1437,1021,0.7105080027835768,0.25284900284900286,0.028713298791019,0.154292343387471,0.45682210708117443,0.37122969837587005,0.47447795823665895,3764.0,1591.0,0.2272079772079772,4340.0,1085.0
cache16_prefetch8,16,8,234,234,1404,64,0.26136155511155584,0.5213675213675214,0.5213675213675214,0.16951566951566951,1800,0.805,351,0.195,0.23333333333333334,0.1282051282051282,0.3111111111111111,0.03333333333333333,1629,1213,0.7446286065070595,0.254985754985755,0.030008635578583766,0.15849486887115166,0.44581174438687393,0.3637400228050171,0.47776510832383123,3711.0,1604.0,0.21367521367521367,4416.0,1104.0
cache32_prefetch4,32,4,234,234,1404,64,0.27500000000000074,0.7585470085470085,0.7585470085470085,0.16666666666666666,900,0.9244444444444444,68,0.07555555555555556,0.27444444444444444,0.1323529411764706,0.18296296296296297,0.006666666666666667,1369,537,0.3922571219868517,0.5021367521367521,0.025259067357512953,0.3,0.7638169257340242,0.38461538461538464,0.3153846153846154,2603.0,939.0,0.4878917378917379,2876.0,719.0
cache32_prefetch8,32,8,234,234,1404,64,0.27377830502830575,0.7678062678062678,0.7678062678062678,0.16666666666666666,1800,0.9155555555555556,152,0.08444444444444445,0.24944444444444444,0.13157894736842105,0.3325925925925926,0.014814814814814815,1442,610,0.42302357836338417,0.49715099715099714,0.026338514680483593,0.3160621761658031,0.7681347150259067,0.40414507772020725,0.27979274611398963,2623.0,936.0,0.47507122507122507,2948.0,737.0
cache48_prefetch4,48,4,234,234,1404,64,0.26994671994672065,0.8554131054131054,0.8554131054131054,0.16666666666666666,900,0.9455555555555556,49,0.05444444444444444,0.2688888888888889,0.14285714285714285,0.17925925925925926,0.005185185185185185,1510,262,0.17350993377483442,0.7443019943019943,0.0045336787564766836,0.35,0.9727979274611399,0.5666666666666667,0.08333333333333333,1395.0,385.0,0.7414529914529915,1452.0,363.0
cache48_prefetch8,48,8,234,234,1404,64,0.2534590409590416,0.8589743589743589,0.8589743589743589,0.16666666666666666,1800,0.9488888888888889,92,0.051111111111111114,0.23777777777777778,0.18478260869565216,0.31703703703703706,0.012592592592592593,1550,302,0.19483870967741934,0.7378917378917379,0.005613126079447323,0.41935483870967744,0.9702072538860104,0.4838709677419355,0.0967741935483871,1440.0,400.0,0.7336182336182336,1496.0,374.0
cache56_prefetch4,56,4,702,702,4212,64,0.21573042342273124,0.9304368471035138,0.9304368471035138,0.16666666666666666,2700,0.9714814814814815,77,0.02851851851851852,0.24481481481481482,0.23376623376623376,0.16320987654320987,0.0044444444444444444,1649,193,0.1170406306852638,0.8713200379867047,0.0013579188107489995,0.5428571428571428,0.9941395082904517,0.4,0.05714285714285714,2152.0,563.0,0.8696581196581197,2196.0,549.0
cache56_prefetch8,56,8,598,598,3588,64,0.2144446462628286,0.9358974358974359,0.9358974358974359,0.16666666666666666,4600,0.9784782608695652,99,0.021521739130434783,0.2273913043478261,0.1717171717171717,0.30318840579710143,0.004927536231884058,1663,207,0.12447384245339747,0.8704013377926422,0.001343183344526528,0.5925925925925926,0.9955507051712559,0.37037037037037035,0.037037037037037035,1854.0,482.0,0.8695652173913043,1872.0,468.0
