event_id,source_layer_idx,target_layer_idx,prefetch_expert_count,prefetch_resident_expert_count,issued_load_expert_count,prefetch_redundant_candidate_ratio,cache_load_size,prefetch_size
3168,1,2,8,8,0,1.0,56,8
3170,2,3,8,8,0,1.0,56,8
3172,3,4,8,8,0,1.0,56,8
3174,4,5,8,8,0,1.0,56,8
3176,5,6,8,8,0,1.0,56,8
3178,6,7,8,8,0,1.0,56,8
3180,7,8,8,8,0,1.0,56,8
3182,8,9,8,8,0,1.0,56,8
3184,9,10,8,8,0,1.0,56,8
3188,10,11,8,8,0,1.0,56,8
3190,11,12,8,8,0,1.0,56,8
3192,12,13,8,8,0,1.0,56,8
3194,13,14,8,8,0,1.0,56,8
3196,14,15,8,8,0,1.0,56,8
3198,15,16,8,8,0,1.0,56,8
3200,16,17,8,8,0,1.0,56,8
3202,17,18,8,8,0,1.0,56,8
3204,18,19,8,8,0,1.0,56,8
3206,19,20,8,8,0,1.0,56,8
3208,20,21,8,8,0,1.0,56,8
3210,21,22,8,8,0,1.0,56,8
3212,22,23,8,8,0,1.0,56,8
3216,23,24,8,8,0,1.0,56,8
3218,24,25,8,8,0,1.0,56,8
3220,25,26,8,8,0,1.0,56,8
3225,1,2,8,8,0,1.0,56,8
3227,2,3,8,8,0,1.0,56,8
3229,3,4,8,8,0,1.0,56,8
3231,4,5,8,8,0,1.0,56,8
3233,5,6,8,8,0,1.0,56,8
3235,6,7,8,8,0,1.0,56,8
3237,7,8,8,8,0,1.0,56,8
3239,8,9,8,8,0,1.0,56,8
3243,9,10,8,7,1,0.875,56,8
3245,10,11,8,8,0,1.0,56,8
3247,11,12,8,8,0,1.0,56,8
3249,12,13,8,8,0,1.0,56,8
3251,13,14,8,8,0,1.0,56,8
3253,14,15,8,8,0,1.0,56,8
3255,15,16,8,8,0,1.0,56,8
3257,16,17,8,8,0,1.0,56,8
3259,17,18,8,8,0,1.0,56,8
3261,18,19,8,8,0,1.0,56,8
3263,19,20,8,8,0,1.0,56,8
3265,20,21,8,8,0,1.0,56,8
3267,21,22,8,8,0,1.0,56,8
3271,22,23,8,7,1,0.875,56,8
3275,23,24,8,7,1,0.875,56,8
3277,24,25,8,8,0,1.0,56,8
3279,25,26,8,8,0,1.0,56,8
3288,1,2,8,6,2,0.75,56,8
3292,2,3,8,7,1,0.875,56,8
3294,3,4,8,8,0,1.0,56,8
3296,4,5,8,8,0,1.0,56,8
3298,5,6,8,8,0,1.0,56,8
3300,6,7,8,8,0,1.0,56,8
3302,7,8,8,8,0,1.0,56,8
3306,8,9,8,7,1,0.875,56,8
3308,9,10,8,8,0,1.0,56,8
3314,10,11,8,6,2,0.75,56,8
3318,11,12,8,8,0,1.0,56,8
3320,12,13,8,8,0,1.0,56,8
3322,13,14,8,8,0,1.0,56,8
3326,14,15,8,8,0,1.0,56,8
3328,15,16,8,8,0,1.0,56,8
3330,16,17,8,8,0,1.0,56,8
3332,17,18,8,8,0,1.0,56,8
3334,18,19,8,8,0,1.0,56,8
3336,19,20,8,8,0,1.0,56,8
3338,20,21,8,8,0,1.0,56,8
3340,21,22,8,8,0,1.0,56,8
3342,22,23,8,8,0,1.0,56,8
3346,23,24,8,8,0,1.0,56,8
3348,24,25,8,8,0,1.0,56,8
3350,25,26,8,8,0,1.0,56,8
3353,1,2,8,8,0,1.0,56,8
3355,2,3,8,8,0,1.0,56,8
3357,3,4,8,8,0,1.0,56,8
3359,4,5,8,8,0,1.0,56,8
3361,5,6,8,8,0,1.0,56,8
3363,6,7,8,8,0,1.0,56,8
3365,7,8,8,8,0,1.0,56,8
3367,8,9,8,8,0,1.0,56,8
3371,9,10,8,7,1,0.875,56,8
3373,10,11,8,8,0,1.0,56,8
3375,11,12,8,8,0,1.0,56,8
3379,12,13,8,7,1,0.875,56,8
3381,13,14,8,8,0,1.0,56,8
3383,14,15,8,8,0,1.0,56,8
3387,15,16,8,7,1,0.875,56,8
3389,16,17,8,8,0,1.0,56,8
3391,17,18,8,8,0,1.0,56,8
3395,18,19,8,7,1,0.875,56,8
3397,19,20,8,8,0,1.0,56,8
3401,20,21,8,7,1,0.875,56,8
3403,21,22,8,8,0,1.0,56,8
3405,22,23,8,8,0,1.0,56,8
3407,23,24,8,8,0,1.0,56,8
3409,24,25,8,8,0,1.0,56,8
3411,25,26,8,8,0,1.0,56,8
3414,1,2,8,8,0,1.0,56,8
3418,2,3,8,7,1,0.875,56,8
3422,3,4,8,7,1,0.875,56,8
3426,4,5,8,7,1,0.875,56,8
3430,5,6,8,7,1,0.875,56,8
3434,6,7,8,7,1,0.875,56,8
3436,7,8,8,8,0,1.0,56,8
3438,8,9,8,8,0,1.0,56,8
3440,9,10,8,8,0,1.0,56,8
3444,10,11,8,7,1,0.875,56,8
3446,11,12,8,8,0,1.0,56,8
3448,12,13,8,8,0,1.0,56,8
3454,13,14,8,6,2,0.75,56,8
3456,14,15,8,8,0,1.0,56,8
3460,15,16,8,8,0,1.0,56,8
3464,16,17,8,7,1,0.875,56,8
3466,17,18,8,8,0,1.0,56,8
3470,18,19,8,7,1,0.875,56,8
3472,19,20,8,8,0,1.0,56,8
3476,20,21,8,7,1,0.875,56,8
3478,21,22,8,8,0,1.0,56,8
3480,22,23,8,8,0,1.0,56,8
3482,23,24,8,8,0,1.0,56,8
3484,24,25,8,8,0,1.0,56,8
3490,25,26,8,7,1,0.875,56,8
3493,1,2,8,8,0,1.0,56,8
3495,2,3,8,8,0,1.0,56,8
3501,3,4,8,7,1,0.875,56,8
3503,4,5,8,8,0,1.0,56,8
3505,5,6,8,8,0,1.0,56,8
3507,6,7,8,8,0,1.0,56,8
3509,7,8,8,8,0,1.0,56,8
3513,8,9,8,7,1,0.875,56,8
3515,9,10,8,8,0,1.0,56,8
3517,10,11,8,8,0,1.0,56,8
3519,11,12,8,8,0,1.0,56,8
3521,12,13,8,8,0,1.0,56,8
3523,13,14,8,8,0,1.0,56,8
3525,14,15,8,8,0,1.0,56,8
3527,15,16,8,8,0,1.0,56,8
3529,16,17,8,8,0,1.0,56,8
3531,17,18,8,8,0,1.0,56,8
3535,18,19,8,7,1,0.875,56,8
3539,19,20,8,8,0,1.0,56,8
3541,20,21,8,8,0,1.0,56,8
3543,21,22,8,8,0,1.0,56,8
3545,22,23,8,8,0,1.0,56,8
3549,23,24,8,7,1,0.875,56,8
3551,24,25,8,8,0,1.0,56,8
3553,25,26,8,8,0,1.0,56,8
3564,1,2,8,5,3,0.625,56,8
3566,2,3,8,8,0,1.0,56,8
3568,3,4,8,8,0,1.0,56,8
3570,4,5,8,8,0,1.0,56,8
3574,5,6,8,7,1,0.875,56,8
3578,6,7,8,7,1,0.875,56,8
3582,7,8,8,7,1,0.875,56,8
3584,8,9,8,8,0,1.0,56,8
3586,9,10,8,8,0,1.0,56,8
3588,10,11,8,8,0,1.0,56,8
3592,11,12,8,7,1,0.875,56,8
3594,12,13,8,8,0,1.0,56,8
3598,13,14,8,7,1,0.875,56,8
3600,14,15,8,8,0,1.0,56,8
3602,15,16,8,8,0,1.0,56,8
3606,16,17,8,8,0,1.0,56,8
3608,17,18,8,8,0,1.0,56,8
3610,18,19,8,8,0,1.0,56,8
3614,19,20,8,7,1,0.875,56,8
3618,20,21,8,7,1,0.875,56,8
3620,21,22,8,8,0,1.0,56,8
3622,22,23,8,8,0,1.0,56,8
3624,23,24,8,8,0,1.0,56,8
3628,24,25,8,7,1,0.875,56,8
3630,25,26,8,8,0,1.0,56,8
3635,1,2,8,8,0,1.0,56,8
3637,2,3,8,8,0,1.0,56,8
3639,3,4,8,8,0,1.0,56,8
3641,4,5,8,8,0,1.0,56,8
3645,5,6,8,8,0,1.0,56,8
3647,6,7,8,8,0,1.0,56,8
3649,7,8,8,8,0,1.0,56,8
3653,8,9,8,7,1,0.875,56,8
3655,9,10,8,8,0,1.0,56,8
3659,10,11,8,8,0,1.0,56,8
3661,11,12,8,8,0,1.0,56,8
3663,12,13,8,8,0,1.0,56,8
3665,13,14,8,8,0,1.0,56,8
3667,14,15,8,8,0,1.0,56,8
3669,15,16,8,8,0,1.0,56,8
3671,16,17,8,8,0,1.0,56,8
3673,17,18,8,8,0,1.0,56,8
3675,18,19,8,8,0,1.0,56,8
3677,19,20,8,8,0,1.0,56,8
3679,20,21,8,8,0,1.0,56,8
3681,21,22,8,8,0,1.0,56,8
3683,22,23,8,8,0,1.0,56,8
3687,23,24,8,7,1,0.875,56,8
3689,24,25,8,8,0,1.0,56,8
3691,25,26,8,8,0,1.0,56,8
3698,1,2,8,7,1,0.875,56,8
3702,2,3,8,7,1,0.875,56,8
3704,3,4,8,8,0,1.0,56,8
3706,4,5,8,8,0,1.0,56,8
3708,5,6,8,8,0,1.0,56,8
3710,6,7,8,8,0,1.0,56,8
3712,7,8,8,8,0,1.0,56,8
3714,8,9,8,8,0,1.0,56,8
3716,9,10,8,8,0,1.0,56,8
3718,10,11,8,8,0,1.0,56,8
3720,11,12,8,8,0,1.0,56,8
3722,12,13,8,8,0,1.0,56,8
3726,13,14,8,7,1,0.875,56,8
3728,14,15,8,8,0,1.0,56,8
3730,15,16,8,8,0,1.0,56,8
3732,16,17,8,8,0,1.0,56,8
3734,17,18,8,8,0,1.0,56,8
3736,18,19,8,8,0,1.0,56,8
3738,19,20,8,8,0,1.0,56,8
3740,20,21,8,8,0,1.0,56,8
3742,21,22,8,8,0,1.0,56,8
3744,22,23,8,8,0,1.0,56,8
3746,23,24,8,8,0,1.0,56,8
3748,24,25,8,8,0,1.0,56,8
3750,25,26,8,8,0,1.0,56,8
3753,1,2,8,8,0,1.0,56,8
3755,2,3,8,8,0,1.0,56,8
3757,3,4,8,8,0,1.0,56,8
3759,4,5,8,8,0,1.0,56,8
3761,5,6,8,8,0,1.0,56,8
3763,6,7,8,8,0,1.0,56,8
3765,7,8,8,8,0,1.0,56,8
3767,8,9,8,8,0,1.0,56,8
3771,9,10,8,7,1,0.875,56,8
3773,10,11,8,8,0,1.0,56,8
3775,11,12,8,8,0,1.0,56,8
3777,12,13,8,8,0,1.0,56,8
3779,13,14,8,8,0,1.0,56,8
3781,14,15,8,8,0,1.0,56,8
3783,15,16,8,8,0,1.0,56,8
3789,16,17,8,7,1,0.875,56,8
3791,17,18,8,8,0,1.0,56,8
3793,18,19,8,8,0,1.0,56,8
3795,19,20,8,8,0,1.0,56,8
3797,20,21,8,8,0,1.0,56,8
3799,21,22,8,8,0,1.0,56,8
3801,22,23,8,8,0,1.0,56,8
3803,23,24,8,8,0,1.0,56,8
3807,24,25,8,8,0,1.0,56,8
3809,25,26,8,8,0,1.0,56,8
3812,1,2,8,8,0,1.0,56,8
3814,2,3,8,8,0,1.0,56,8
3816,3,4,8,8,0,1.0,56,8
3818,4,5,8,8,0,1.0,56,8
3820,5,6,8,8,0,1.0,56,8
3822,6,7,8,8,0,1.0,56,8
3824,7,8,8,8,0,1.0,56,8
3830,8,9,8,6,2,0.75,56,8
3834,9,10,8,7,1,0.875,56,8
3836,10,11,8,8,0,1.0,56,8
3842,11,12,8,6,2,0.75,56,8
3844,12,13,8,8,0,1.0,56,8
3846,13,14,8,8,0,1.0,56,8
3848,14,15,8,8,0,1.0,56,8
3850,15,16,8,8,0,1.0,56,8
3852,16,17,8,8,0,1.0,56,8
3854,17,18,8,8,0,1.0,56,8
3856,18,19,8,8,0,1.0,56,8
3860,19,20,8,7,1,0.875,56,8
3864,20,21,8,7,1,0.875,56,8
3866,21,22,8,8,0,1.0,56,8
3868,22,23,8,8,0,1.0,56,8
3870,23,24,8,8,0,1.0,56,8
3872,24,25,8,8,0,1.0,56,8
3878,25,26,8,7,1,0.875,56,8
3883,1,2,8,7,1,0.875,56,8
3891,2,3,8,6,2,0.75,56,8
3895,3,4,8,8,0,1.0,56,8
3897,4,5,8,8,0,1.0,56,8
3899,5,6,8,8,0,1.0,56,8
3901,6,7,8,8,0,1.0,56,8
3903,7,8,8,8,0,1.0,56,8
3905,8,9,8,8,0,1.0,56,8
3907,9,10,8,8,0,1.0,56,8
3909,10,11,8,8,0,1.0,56,8
3911,11,12,8,8,0,1.0,56,8
3915,12,13,8,7,1,0.875,56,8
3917,13,14,8,8,0,1.0,56,8
3919,14,15,8,8,0,1.0,56,8
3921,15,16,8,8,0,1.0,56,8
3925,16,17,8,8,0,1.0,56,8
3929,17,18,8,7,1,0.875,56,8
3931,18,19,8,8,0,1.0,56,8
3935,19,20,8,7,1,0.875,56,8
3937,20,21,8,8,0,1.0,56,8
3939,21,22,8,8,0,1.0,56,8
3941,22,23,8,8,0,1.0,56,8
3943,23,24,8,8,0,1.0,56,8
3947,24,25,8,7,1,0.875,56,8
3949,25,26,8,8,0,1.0,56,8
3952,1,2,8,8,0,1.0,56,8
3954,2,3,8,8,0,1.0,56,8
3956,3,4,8,8,0,1.0,56,8
3958,4,5,8,8,0,1.0,56,8
3960,5,6,8,8,0,1.0,56,8
3962,6,7,8,8,0,1.0,56,8
3964,7,8,8,8,0,1.0,56,8
3966,8,9,8,8,0,1.0,56,8
3968,9,10,8,8,0,1.0,56,8
3970,10,11,8,8,0,1.0,56,8
3972,11,12,8,8,0,1.0,56,8
3974,12,13,8,8,0,1.0,56,8
3978,13,14,8,7,1,0.875,56,8
3980,14,15,8,8,0,1.0,56,8
3982,15,16,8,8,0,1.0,56,8
3984,16,17,8,8,0,1.0,56,8
3986,17,18,8,8,0,1.0,56,8
3988,18,19,8,8,0,1.0,56,8
3990,19,20,8,8,0,1.0,56,8
3994,20,21,8,7,1,0.875,56,8
3996,21,22,8,8,0,1.0,56,8
3998,22,23,8,8,0,1.0,56,8
4000,23,24,8,8,0,1.0,56,8
4004,24,25,8,8,0,1.0,56,8
4008,25,26,8,7,1,0.875,56,8
4015,1,2,8,7,1,0.875,56,8
4019,2,3,8,8,0,1.0,56,8
4021,3,4,8,8,0,1.0,56,8
4023,4,5,8,8,0,1.0,56,8
4025,5,6,8,8,0,1.0,56,8
4029,6,7,8,7,1,0.875,56,8
4033,7,8,8,7,1,0.875,56,8
4037,8,9,8,8,0,1.0,56,8
4039,9,10,8,8,0,1.0,56,8
4041,10,11,8,8,0,1.0,56,8
4045,11,12,8,7,1,0.875,56,8
4047,12,13,8,8,0,1.0,56,8
4051,13,14,8,7,1,0.875,56,8
4053,14,15,8,8,0,1.0,56,8
4055,15,16,8,8,0,1.0,56,8
4057,16,17,8,8,0,1.0,56,8
4059,17,18,8,8,0,1.0,56,8
4063,18,19,8,7,1,0.875,56,8
4067,19,20,8,8,0,1.0,56,8
4069,20,21,8,8,0,1.0,56,8
4073,21,22,8,7,1,0.875,56,8
4075,22,23,8,8,0,1.0,56,8
4077,23,24,8,8,0,1.0,56,8
4079,24,25,8,8,0,1.0,56,8
4081,25,26,8,8,0,1.0,56,8
4086,1,2,8,7,1,0.875,56,8
4088,2,3,8,8,0,1.0,56,8
4092,3,4,8,8,0,1.0,56,8
4094,4,5,8,8,0,1.0,56,8
4096,5,6,8,8,0,1.0,56,8
4098,6,7,8,8,0,1.0,56,8
4100,7,8,8,8,0,1.0,56,8
4102,8,9,8,8,0,1.0,56,8
4104,9,10,8,8,0,1.0,56,8
4106,10,11,8,8,0,1.0,56,8
4110,11,12,8,7,1,0.875,56,8
4112,12,13,8,8,0,1.0,56,8
4114,13,14,8,8,0,1.0,56,8
4116,14,15,8,8,0,1.0,56,8
4118,15,16,8,8,0,1.0,56,8
4122,16,17,8,7,1,0.875,56,8
4124,17,18,8,8,0,1.0,56,8
4126,18,19,8,8,0,1.0,56,8
4128,19,20,8,8,0,1.0,56,8
4132,20,21,8,8,0,1.0,56,8
4134,21,22,8,8,0,1.0,56,8
4138,22,23,8,7,1,0.875,56,8
4140,23,24,8,8,0,1.0,56,8
4142,24,25,8,8,0,1.0,56,8
4144,25,26,8,8,0,1.0,56,8
4147,1,2,8,8,0,1.0,56,8
4153,2,3,8,8,0,1.0,56,8
4155,3,4,8,8,0,1.0,56,8
4157,4,5,8,8,0,1.0,56,8
4159,5,6,8,8,0,1.0,56,8
4161,6,7,8,8,0,1.0,56,8
4165,7,8,8,7,1,0.875,56,8
4167,8,9,8,8,0,1.0,56,8
4169,9,10,8,8,0,1.0,56,8
4173,10,11,8,7,1,0.875,56,8
4175,11,12,8,8,0,1.0,56,8
4177,12,13,8,8,0,1.0,56,8
4179,13,14,8,8,0,1.0,56,8
4181,14,15,8,8,0,1.0,56,8
4183,15,16,8,8,0,1.0,56,8
4185,16,17,8,8,0,1.0,56,8
4187,17,18,8,8,0,1.0,56,8
4189,18,19,8,8,0,1.0,56,8
4191,19,20,8,8,0,1.0,56,8
4195,20,21,8,8,0,1.0,56,8
4197,21,22,8,8,0,1.0,56,8
4199,22,23,8,8,0,1.0,56,8
4201,23,24,8,8,0,1.0,56,8
4203,24,25,8,8,0,1.0,56,8
4205,25,26,8,8,0,1.0,56,8
4208,1,2,8,8,0,1.0,56,8
4210,2,3,8,8,0,1.0,56,8
4214,3,4,8,7,1,0.875,56,8
4216,4,5,8,8,0,1.0,56,8
4218,5,6,8,8,0,1.0,56,8
4220,6,7,8,8,0,1.0,56,8
4226,7,8,8,7,1,0.875,56,8
4228,8,9,8,8,0,1.0,56,8
4232,9,10,8,7,1,0.875,56,8
4234,10,11,8,8,0,1.0,56,8
4236,11,12,8,8,0,1.0,56,8
4238,12,13,8,8,0,1.0,56,8
4242,13,14,8,8,0,1.0,56,8
4244,14,15,8,8,0,1.0,56,8
4246,15,16,8,8,0,1.0,56,8
4248,16,17,8,8,0,1.0,56,8
4250,17,18,8,8,0,1.0,56,8
4252,18,19,8,8,0,1.0,56,8
4258,19,20,8,6,2,0.75,56,8
4260,20,21,8,8,0,1.0,56,8
4262,21,22,8,8,0,1.0,56,8
4264,22,23,8,8,0,1.0,56,8
4266,23,24,8,8,0,1.0,56,8
4268,24,25,8,8,0,1.0,56,8
4270,25,26,8,8,0,1.0,56,8
4277,1,2,8,7,1,0.875,56,8
4279,2,3,8,8,0,1.0,56,8
4281,3,4,8,8,0,1.0,56,8
4283,4,5,8,8,0,1.0,56,8
4285,5,6,8,8,0,1.0,56,8
4287,6,7,8,8,0,1.0,56,8
4291,7,8,8,7,1,0.875,56,8
4293,8,9,8,8,0,1.0,56,8
4295,9,10,8,8,0,1.0,56,8
4297,10,11,8,8,0,1.0,56,8
4299,11,12,8,8,0,1.0,56,8
4301,12,13,8,8,0,1.0,56,8
4303,13,14,8,8,0,1.0,56,8
4305,14,15,8,8,0,1.0,56,8
4307,15,16,8,8,0,1.0,56,8
4309,16,17,8,8,0,1.0,56,8
4313,17,18,8,7,1,0.875,56,8
4315,18,19,8,8,0,1.0,56,8
4317,19,20,8,8,0,1.0,56,8
4319,20,21,8,8,0,1.0,56,8
4321,21,22,8,8,0,1.0,56,8
4323,22,23,8,8,0,1.0,56,8
4327,23,24,8,7,1,0.875,56,8
4329,24,25,8,8,0,1.0,56,8
4331,25,26,8,8,0,1.0,56,8
4334,1,2,8,8,0,1.0,56,8
4336,2,3,8,8,0,1.0,56,8
4338,3,4,8,8,0,1.0,56,8
4340,4,5,8,8,0,1.0,56,8
4342,5,6,8,8,0,1.0,56,8
4344,6,7,8,8,0,1.0,56,8
4346,7,8,8,8,0,1.0,56,8
4348,8,9,8,8,0,1.0,56,8
4350,9,10,8,8,0,1.0,56,8
4352,10,11,8,8,0,1.0,56,8
4354,11,12,8,8,0,1.0,56,8
4356,12,13,8,8,0,1.0,56,8
4358,13,14,8,8,0,1.0,56,8
4360,14,15,8,8,0,1.0,56,8
4362,15,16,8,8,0,1.0,56,8
4364,16,17,8,8,0,1.0,56,8
4366,17,18,8,8,0,1.0,56,8
4368,18,19,8,8,0,1.0,56,8
4370,19,20,8,8,0,1.0,56,8
4372,20,21,8,8,0,1.0,56,8
4374,21,22,8,8,0,1.0,56,8
4376,22,23,8,8,0,1.0,56,8
4378,23,24,8,8,0,1.0,56,8
4380,24,25,8,8,0,1.0,56,8
4382,25,26,8,8,0,1.0,56,8
4385,1,2,8,8,0,1.0,56,8
4387,2,3,8,8,0,1.0,56,8
4389,3,4,8,8,0,1.0,56,8
4391,4,5,8,8,0,1.0,56,8
4393,5,6,8,8,0,1.0,56,8
4395,6,7,8,8,0,1.0,56,8
4397,7,8,8,8,0,1.0,56,8
4401,8,9,8,7,1,0.875,56,8
4403,9,10,8,8,0,1.0,56,8
4405,10,11,8,8,0,1.0,56,8
4407,11,12,8,8,0,1.0,56,8
4409,12,13,8,8,0,1.0,56,8
4411,13,14,8,8,0,1.0,56,8
4413,14,15,8,8,0,1.0,56,8
4415,15,16,8,8,0,1.0,56,8
4419,16,17,8,7,1,0.875,56,8
4421,17,18,8,8,0,1.0,56,8
4423,18,19,8,8,0,1.0,56,8
4427,19,20,8,7,1,0.875,56,8
4429,20,21,8,8,0,1.0,56,8
4433,21,22,8,8,0,1.0,56,8
4435,22,23,8,8,0,1.0,56,8
4437,23,24,8,8,0,1.0,56,8
4441,24,25,8,7,1,0.875,56,8
4443,25,26,8,8,0,1.0,56,8
4446,1,2,8,8,0,1.0,56,8
4448,2,3,8,8,0,1.0,56,8
4450,3,4,8,8,0,1.0,56,8
4452,4,5,8,8,0,1.0,56,8
4454,5,6,8,8,0,1.0,56,8
4458,6,7,8,7,1,0.875,56,8
4460,7,8,8,8,0,1.0,56,8
4462,8,9,8,8,0,1.0,56,8
4464,9,10,8,8,0,1.0,56,8
4466,10,11,8,8,0,1.0,56,8
4470,11,12,8,7,1,0.875,56,8
4472,12,13,8,8,0,1.0,56,8
4474,13,14,8,8,0,1.0,56,8
4476,14,15,8,8,0,1.0,56,8
4482,15,16,8,6,2,0.75,56,8
4484,16,17,8,8,0,1.0,56,8
4486,17,18,8,8,0,1.0,56,8
4488,18,19,8,8,0,1.0,56,8
4490,19,20,8,8,0,1.0,56,8
4492,20,21,8,8,0,1.0,56,8
4494,21,22,8,8,0,1.0,56,8
4496,22,23,8,8,0,1.0,56,8
4498,23,24,8,8,0,1.0,56,8
4500,24,25,8,8,0,1.0,56,8
4502,25,26,8,8,0,1.0,56,8
4505,1,2,8,8,0,1.0,56,8
4507,2,3,8,8,0,1.0,56,8
4509,3,4,8,8,0,1.0,56,8
4511,4,5,8,8,0,1.0,56,8
4513,5,6,8,8,0,1.0,56,8
4515,6,7,8,8,0,1.0,56,8
4517,7,8,8,8,0,1.0,56,8
4519,8,9,8,8,0,1.0,56,8
4521,9,10,8,8,0,1.0,56,8
4523,10,11,8,8,0,1.0,56,8
4525,11,12,8,8,0,1.0,56,8
4527,12,13,8,8,0,1.0,56,8
4529,13,14,8,8,0,1.0,56,8
4531,14,15,8,8,0,1.0,56,8
4533,15,16,8,8,0,1.0,56,8
4535,16,17,8,8,0,1.0,56,8
4537,17,18,8,8,0,1.0,56,8
4539,18,19,8,8,0,1.0,56,8
4541,19,20,8,8,0,1.0,56,8
4543,20,21,8,8,0,1.0,56,8
4545,21,22,8,8,0,1.0,56,8
4547,22,23,8,8,0,1.0,56,8
4549,23,24,8,8,0,1.0,56,8
4551,24,25,8,8,0,1.0,56,8
4553,25,26,8,8,0,1.0,56,8
4558,1,2,8,8,0,1.0,56,8
4560,2,3,8,8,0,1.0,56,8
4562,3,4,8,8,0,1.0,56,8
4564,4,5,8,8,0,1.0,56,8
4566,5,6,8,8,0,1.0,56,8
4568,6,7,8,8,0,1.0,56,8
4570,7,8,8,8,0,1.0,56,8
4572,8,9,8,8,0,1.0,56,8
4574,9,10,8,8,0,1.0,56,8
4576,10,11,8,8,0,1.0,56,8
4578,11,12,8,8,0,1.0,56,8
4580,12,13,8,8,0,1.0,56,8
4582,13,14,8,8,0,1.0,56,8
4584,14,15,8,8,0,1.0,56,8
4586,15,16,8,8,0,1.0,56,8
4588,16,17,8,8,0,1.0,56,8
4590,17,18,8,8,0,1.0,56,8
4592,18,19,8,8,0,1.0,56,8
4594,19,20,8,8,0,1.0,56,8
4596,20,21,8,8,0,1.0,56,8
4600,21,22,8,7,1,0.875,56,8
4604,22,23,8,7,1,0.875,56,8
4606,23,24,8,8,0,1.0,56,8
4610,24,25,8,7,1,0.875,56,8
4612,25,26,8,8,0,1.0,56,8
