workload,policy,accesses,cache_hits,cache_hit_ratio,cache_hit_from_prefetch,prefetch_candidates,prefetch_rejected,prefetch_redundant,prefetch_already_pending,prefetch_issued,prefetch_used_timely,prefetch_used_late,prefetch_unused,timely_useful_candidate_ratio,timely_useful_issued_ratio,redundant_prefetch_ratio,late_prefetch_ratio,unused_prefetch_ratio,issued_late_prefetch_ratio,issued_unused_prefetch_ratio,ready_before_consume_ratio,stall_time,bytes_moved,prefetch_bytes_moved,demand_bytes_moved,evictions,prefetch_evictions,damaging_prefetch_evictions,eviction_damage_ratio,issue_f1_proxy,phenomenon_flag
router_trace_deepseek_v2,no_prefetch,1404,298,0.21225071225071226,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4424.0,1106,0,1106,1090,0,0,0.0,0.0,False
router_trace_deepseek_v2,history_prefetch,1404,361,0.2571225071225071,134,4632,0,2102,1658,872,134,331,407,0.028929188255613126,0.1536697247706422,0.45379965457685667,0.0714594127806563,0.08786701208981001,0.3795871559633027,0.46674311926605505,0.28817204301075267,3686.0,1584,872,712,1568,541,293,0.5415896487985212,0.044400265076209415,False
router_trace_deepseek_v2,utility_gate,1404,298,0.21225071225071226,0,4632,2695,1937,0,0,0,0,0,0.0,0.0,0.41817789291882557,0.0,0.0,0.0,0.0,0.0,4424.0,1106,0,1106,1090,0,0,0.0,0.0,False
