event_id,source_layer_idx,target_layer_idx,prefetch_expert_count,prefetch_resident_expert_count,issued_load_expert_count,prefetch_redundant_candidate_ratio,cache_load_size,prefetch_size
3120,1,2,8,8,0,1.0,48,8
3122,2,3,8,8,0,1.0,48,8
3124,3,4,8,8,0,1.0,48,8
3126,4,5,8,8,0,1.0,48,8
3128,5,6,8,8,0,1.0,48,8
3130,6,7,8,8,0,1.0,48,8
3132,7,8,8,8,0,1.0,48,8
3134,8,9,8,8,0,1.0,48,8
3136,9,10,8,8,0,1.0,48,8
3140,10,11,8,8,0,1.0,48,8
3142,11,12,8,8,0,1.0,48,8
3144,12,13,8,8,0,1.0,48,8
3146,13,14,8,8,0,1.0,48,8
3150,14,15,8,8,0,1.0,48,8
3152,15,16,8,8,0,1.0,48,8
3154,16,17,8,8,0,1.0,48,8
3156,17,18,8,8,0,1.0,48,8
3158,18,19,8,8,0,1.0,48,8
3160,19,20,8,8,0,1.0,48,8
3162,20,21,8,8,0,1.0,48,8
3164,21,22,8,8,0,1.0,48,8
3166,22,23,8,8,0,1.0,48,8
3168,23,24,8,8,0,1.0,48,8
3170,24,25,8,8,0,1.0,48,8
3172,25,26,8,8,0,1.0,48,8
3181,1,2,8,7,1,0.875,48,8
3183,2,3,8,8,0,1.0,48,8
3189,3,4,8,7,1,0.875,48,8
3191,4,5,8,8,0,1.0,48,8
3193,5,6,8,8,0,1.0,48,8
3195,6,7,8,8,0,1.0,48,8
3197,7,8,8,8,0,1.0,48,8
3199,8,9,8,8,0,1.0,48,8
3203,9,10,8,7,1,0.875,48,8
3207,10,11,8,7,1,0.875,48,8
3209,11,12,8,8,0,1.0,48,8
3211,12,13,8,8,0,1.0,48,8
3213,13,14,8,8,0,1.0,48,8
3217,14,15,8,7,1,0.875,48,8
3221,15,16,8,7,1,0.875,48,8
3223,16,17,8,8,0,1.0,48,8
3225,17,18,8,8,0,1.0,48,8
3229,18,19,8,7,1,0.875,48,8
3231,19,20,8,8,0,1.0,48,8
3233,20,21,8,8,0,1.0,48,8
3237,21,22,8,7,1,0.875,48,8
3243,22,23,8,6,2,0.75,48,8
3247,23,24,8,7,1,0.875,48,8
