run,cache_size,prefetch_size,placement_events,decode_events,live_cache_hit_ratio,prefetch_redundant_ratio,prefetch_issued_candidate_ratio,prefetch_issued_used_ratio,prefetch_issued_assignment_coverage,prefetch_issued_unused_ratio,route_drift_ratio,avg_same_layer_jaccard,eviction_damage_miss_ratio,eviction_damage_assignment_ratio,cpu_assignment_ratio,prefetch_wait_late_ratio,expert_wait_late_ratio,prefetch_wait_total_ms,expert_wait_total_ms
cache16_prefetch0,16,0,260,234,0.4297725024727992,0.0,0.0,0.0,0.0,0.0,0.7354270729270729,0.26457292707292707,0.28013876843018215,0.19901417128773877,0.08936651583710407,,,,
cache16_prefetch4,16,4,260,234,0.4268051434223541,0.8522222222222222,0.14777777777777779,0.14285714285714285,0.014074074074074074,0.8571428571428572,0.7399163336663337,0.2600836663336663,0.30198446937014667,0.21485573971761818,0.09049773755656108,,,,
cache16_prefetch8,16,8,260,234,0.4426310583580613,0.805,0.195,0.1282051282051282,0.03333333333333333,0.8717948717948718,0.7386384448884449,0.2613615551115551,0.32741792369121564,0.23105823418910457,0.08974358974358974,,,,
cache32_prefetch4,32,4,260,234,0.6764847899565427,0.9244444444444444,0.07555555555555556,0.1323529411764706,0.006666666666666667,0.8676470588235294,0.725,0.275,0.15671641791044777,0.10552763819095477,0.08823529411764706,,,,
cache32_prefetch8,32,8,260,234,0.6827619507484307,0.9155555555555556,0.08444444444444445,0.13157894736842105,0.014814814814814815,0.868421052631579,0.726221694971695,0.273778305028305,0.1598173515981735,0.10692464358452139,0.08823529411764706,,,,
cache48_prefetch4,48,4,260,234,0.8232737807822308,0.9455555555555556,0.05444444444444444,0.14285714285714285,0.005185185185185185,0.8571428571428572,0.7300532800532801,0.2699467199467199,0.13934426229508196,0.09826589595375723,0.08823529411764706,,,,
cache48_prefetch8,48,8,260,234,0.8256880733944955,0.9488888888888889,0.051111111111111114,0.18478260869565216,0.012592592592592593,0.8152173913043479,0.7465409590409591,0.253459040959041,0.17174515235457063,0.12062256809338522,0.08823529411764706,,,,
cache56_prefetch4,56,4,728,702,0.9237548678007789,0.9714814814814815,0.02851851851851852,0.23376623376623376,0.0044444444444444444,0.7662337662337663,0.7842695765772689,0.2157304234227311,0.16666666666666666,0.13566739606126915,0.12857142857142856,,,,
cache56_prefetch8,56,8,624,598,0.92737955346651,0.9784782608695652,0.021521739130434783,0.1717171717171717,0.004927536231884058,0.8282828282828283,0.7855553537371719,0.21444464626282808,0.1779935275080906,0.13959390862944163,0.12365591397849462,,,,
