workload,policy,accesses,cache_hits,cache_hit_ratio,cache_hit_from_prefetch,prefetch_candidates,prefetch_rejected,prefetch_redundant,prefetch_already_pending,prefetch_issued,prefetch_used_timely,prefetch_used_late,prefetch_unused,timely_useful_candidate_ratio,timely_useful_issued_ratio,redundant_prefetch_ratio,late_prefetch_ratio,unused_prefetch_ratio,issued_late_prefetch_ratio,issued_unused_prefetch_ratio,ready_before_consume_ratio,stall_time,bytes_moved,prefetch_bytes_moved,demand_bytes_moved,evictions,prefetch_evictions,damaging_prefetch_evictions,eviction_damage_ratio,issue_f1_proxy,phenomenon_flag
router_trace_deepseek_v2,no_prefetch,1404,300,0.21367521367521367,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4416.0,1104,0,1104,1088,0,0,0.0,0.0,False
router_trace_deepseek_v2,history_prefetch,1404,358,0.254985754985755,139,4632,0,2065,1690,877,139,319,419,0.030008635578583766,0.15849486887115166,0.44581174438687393,0.06886873920552677,0.09045768566493956,0.3637400228050171,0.47776510832383123,0.3034934497816594,3711.0,1604,877,727,1588,558,310,0.5555555555555556,0.04605699138502319,False
router_trace_deepseek_v2,utility_gate,1404,300,0.21367521367521367,0,4632,2692,1940,0,0,0,0,0,0.0,0.0,0.41882556131260795,0.0,0.0,0.0,0.0,0.0,4416.0,1104,0,1104,1088,0,0,0.0,0.0,False
