policy,stage,draft_mode,draft_fidelity,lookahead_events,accept_prob,assignments,avg_gate_score,cache_hit_assignment_ratio,cache_hit_assignments,cache_miss_assignments,demand_entries_evicted_by_prefetch,demand_load_ratio,demand_loads,estimated_demand_bytes_mb,estimated_demand_stall_steps,estimated_prefetch_bytes_mb,estimated_total_bytes_mb,eviction_damage_assignment_ratio,eviction_damage_assignments,evictions,gate_score_samples,gate_score_sum,late_prefetch_assignments,late_prefetch_experts,placement_events,prefetch_budget_rejected,prefetch_candidates,prefetch_evicted_unused,prefetch_evicted_unused_ratio,prefetch_evictions,prefetch_gate_rejected,prefetch_issued,prefetch_issued_candidate_ratio,prefetch_late_assignment_ratio,prefetch_load_ratio,prefetch_ready,prefetch_redundant_candidate_ratio,prefetch_redundant_pending,prefetch_redundant_resident,prefetch_rejected_candidate_ratio,prefetch_timely_useful_assignment_ratio,prefetch_timely_useful_assignments,prefetch_timely_useful_experts,prefetch_timely_useful_issued_ratio,prefetch_unused,prefetch_unused_issued_ratio,run_count,transfer_latency,unique_demands
always,decode,oracle,1.0,32,0.8,10920,0.0,0.9565934065934066,10446,474,53,0.043406593406593405,474,474.0,1896.0,4145.0,4619.0,0.5021097046413502,238,1685,0,0,375,375,1820,11099,339936,186,0.04487334137515078,1628,0,4145,0.01219347171232232,0.034340659340659344,0.37957875457875456,4145,0.955156264708651,12207,312485,0.03265026357902664,0.9523809523809523,10400,3919,0.9454764776839566,52,0.012545235223160435,3,4,10920
no_prefetch,decode,oracle,1.0,32,0.8,10920,0.0,0.6450549450549451,7044,3876,0,0.35494505494505496,3876,3876.0,15504.0,0.0,3876.0,0.18008255933952527,698,1317,0,0,0,0,1820,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,3,4,10920
utility_gate,decode,oracle,1.0,32,0.8,10920,-0.6637071441733662,0.7184065934065934,7845,3075,2,0.2815934065934066,3075,3075.0,12300.0,3643.0,6718.0,0.22796747967479675,701,1332,108634,-72101.16190012946,2827,2827,1820,1084,339936,661,0.1814438649464727,1176,104991,3643,0.01071672314788666,0.2588827838827839,0.3336080586080586,3643,0.6772392450343594,5694,224524,0.3120440318177539,0.7014652014652014,7660,2370,0.6505627230304694,0,0.0,3,4,10920
