run,policy,cache_size,prefetch_size,stage,draft_mode,draft_fidelity,lookahead_events,accept_prob,assignments,avg_gate_score,cache_hit_assignment_ratio,cache_hit_assignments,cache_miss_assignment_ratio,cache_miss_assignments,cutoff_layer,demand_entries_evicted_by_prefetch,demand_load_ratio,demand_loads,estimated_demand_bytes_mb,estimated_demand_stall_steps,estimated_prefetch_bytes_mb,estimated_total_bytes_mb,eviction_damage_assignment_ratio,eviction_damage_assignments,eviction_damage_experts,evictions,gate_score_samples,gate_score_sum,gate_threshold,late_prefetch_assignments,late_prefetch_experts,placement_events,prefetch_budget_rejected,prefetch_candidates,prefetch_evicted_unused,prefetch_evicted_unused_ratio,prefetch_evictions,prefetch_gate_rejected,prefetch_issued,prefetch_issued_candidate_ratio,prefetch_late_assignment_ratio,prefetch_load_ratio,prefetch_ready,prefetch_ready_redundant,prefetch_redundant_candidate_ratio,prefetch_redundant_pending,prefetch_redundant_resident,prefetch_rejected_candidate_ratio,prefetch_timely_useful_assignment_ratio,prefetch_timely_useful_assignments,prefetch_timely_useful_experts,prefetch_timely_useful_issued_ratio,prefetch_unused,prefetch_unused_issued_ratio,router_events,run_dir,transfer_latency,unique_demands
mechanism_timing_cache16_prefetch8,always,16,8,decode,oracle,1.0,32,0.8,3432,0.0,0.9003496503496503,3090,0.09965034965034965,342,,49,0.09965034965034965,342,342.0,1368,2001.0,2343.0,0.695906432748538,238,1547,1672,,,,255,255,572,3903,106656,185,0.09245377311344327,1619,,2001,0.01876125112511251,0.0743006993006993,0.583041958041958,2001,255,0.9446444644464447,5675,95077,0.03659428442844284,0.8936480186480187,3067,1785,0.8920539730134932,52,0.025987006496751622,572,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache16_prefetch8,4,3432
mechanism_timing_cache16_prefetch8,no_prefetch,16,0,decode,oracle,1.0,32,0.8,3432,0.0,0.4988344988344988,1712,0.5011655011655012,1720,,,0.5011655011655012,1720,1720.0,6880,0.0,1720.0,0.40348837209302324,694,1161,1304,,,,,,572,,,,0.0,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,,0.0,,0.0,572,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache16_prefetch8,4,3432
mechanism_timing_cache16_prefetch8,utility_gate,16,8,decode,oracle,1.0,32,0.8,3432,-0.762377943794908,0.49446386946386944,1697,0.5055361305361306,1735,,,0.5055361305361306,1735,1735.0,6940,1499.0,3234.0,0.4023054755043228,698,1181,1319,49087,-37422.84612706065,0.0,1499,1499,572,356,106656,658,0.4389593062041361,1167,47588,1499,0.014054530453045305,0.4367715617715618,0.4367715617715618,1499,1499,0.5364255175517552,561,56652,0.4495199519951995,0.44726107226107226,1535,606,0.4042695130086724,,0.0,572,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache16_prefetch8,4,3432
mechanism_timing_cache48_prefetch8,always,48,8,decode,oracle,1.0,32,0.8,3900,0.0,0.9830769230769231,3834,0.016923076923076923,66,,4,0.016923076923076923,66,66.0,264,1088.0,1154.0,0.0,,4,13,,,,60,60,650,3617,121632,1,0.0009191176470588235,9,,1088,0.008945014469876349,0.015384615384615385,0.27897435897435896,1088,60,0.9613177453301762,3312,113615,0.029737240199947383,0.98,3822,1083,0.9954044117647058,,0.0,650,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache48_prefetch8,4,3900
mechanism_timing_cache48_prefetch8,no_prefetch,48,0,decode,oracle,1.0,32,0.8,3900,0.0,0.7194871794871794,2806,0.2805128205128205,1094,,,0.2805128205128205,1094,1094.0,4376,0.0,1094.0,0.003656307129798903,4,4,13,,,,,,650,,,,0.0,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,,0.0,,0.0,650,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache48_prefetch8,4,3900
mechanism_timing_cache48_prefetch8,utility_gate,48,8,decode,oracle,1.0,32,0.8,3900,-0.5917046411183161,0.8143589743589743,3176,0.18564102564102564,724,,2,0.18564102564102564,724,724.0,2896,1088.0,1812.0,0.004143646408839779,3,4,13,30326,-17944.034946554053,0.0,718,718,650,364,121632,3,0.0027573529411764708,9,29238,1088,0.008945014469876349,0.1841025641025641,0.27897435897435896,1088,718,0.7476815311760063,2503,88439,0.24337345435411734,0.8112820512820513,3164,874,0.8033088235294118,,0.0,650,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache48_prefetch8,4,3900
mechanism_timing_cache56_prefetch8,always,56,8,decode,oracle,1.0,32,0.8,3588,0.0,0.9816053511705686,3522,0.01839464882943144,66,,,0.01839464882943144,66,66.0,264,1056.0,1122.0,0.0,,0,,,,,60,60,598,3579,111648,,0.0,,,1056,0.009458297506448839,0.016722408026755852,0.29431438127090304,1056,60,0.9584855975924333,3220,103793,0.0320561049011178,0.9785395763656634,3511,1051,0.9952651515151515,,0.0,598,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache56_prefetch8,4,3588
mechanism_timing_cache56_prefetch8,no_prefetch,56,0,decode,oracle,1.0,32,0.8,3588,0.0,0.7040133779264214,2526,0.2959866220735786,1062,,,0.2959866220735786,1062,1062.0,4248,0.0,1062.0,0.0,,0,,,,,,,598,,,,0.0,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,,0.0,,0.0,598,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache56_prefetch8,4,3588
mechanism_timing_cache56_prefetch8,utility_gate,56,8,decode,oracle,1.0,32,0.8,3588,-0.5726799502588809,0.8283166109253066,2972,0.1716833890746934,616,,,0.1716833890746934,616,616.0,2464,1056.0,1672.0,0.0,,0,,29221,-16734.280826514758,0.0,610,610,598,364,111648,,0.0,,28165,1056,0.009458297506448839,0.17001114827201783,0.29431438127090304,1056,610,0.7350154055603325,2630,79433,0.2555262969332187,0.8252508361204013,2961,890,0.8428030303030303,,0.0,598,.codex_tmp\mechanism_timing_all_analysis\mechanism_timing_cache56_prefetch8,4,3588
