workload,policy,accesses,cache_hits,cache_hit_ratio,cache_hit_from_prefetch,prefetch_candidates,prefetch_rejected,prefetch_redundant,prefetch_already_pending,prefetch_issued,prefetch_used_timely,prefetch_used_late,prefetch_unused,timely_useful_candidate_ratio,timely_useful_issued_ratio,redundant_prefetch_ratio,late_prefetch_ratio,unused_prefetch_ratio,issued_late_prefetch_ratio,issued_unused_prefetch_ratio,ready_before_consume_ratio,stall_time,bytes_moved,prefetch_bytes_moved,demand_bytes_moved,evictions,prefetch_evictions,damaging_prefetch_evictions,eviction_damage_ratio,issue_f1_proxy,phenomenon_flag
router_trace_deepseek_v2,no_prefetch,3432,735,0.21416083916083917,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10788.0,2697,0,2697,2681,0,0,0.0,0.0,False
router_trace_deepseek_v2,history_prefetch,3432,804,0.23426573426573427,307,11395,0,4853,4308,2234,307,788,1139,0.02694164107064502,0.13742166517457474,0.4258885476086003,0.069153137340939,0.09995612110574814,0.35273052820053713,0.509847806624888,0.28036529680365296,9441.0,4074,2234,1840,4058,1446,833,0.5760719225449515,0.04141093950225939,False
router_trace_deepseek_v2,utility_gate,3432,735,0.21416083916083917,0,11395,6885,4510,0,0,0,0,0,0.0,0.0,0.39578762615182095,0.0,0.0,0.0,0.0,0.0,10788.0,2697,0,2697,2681,0,0,0.0,0.0,False
