workload,policy,accesses,cache_hits,cache_hit_ratio,cache_hit_from_prefetch,prefetch_candidates,prefetch_rejected,prefetch_redundant,prefetch_already_pending,prefetch_issued,prefetch_used_timely,prefetch_used_late,prefetch_unused,timely_useful_candidate_ratio,timely_useful_issued_ratio,redundant_prefetch_ratio,late_prefetch_ratio,unused_prefetch_ratio,issued_late_prefetch_ratio,issued_unused_prefetch_ratio,ready_before_consume_ratio,stall_time,bytes_moved,prefetch_bytes_moved,demand_bytes_moved,evictions,prefetch_evictions,damaging_prefetch_evictions,eviction_damage_ratio,issue_f1_proxy,phenomenon_flag
router_trace_deepseek_v2,no_prefetch,2652,930,0.3506787330316742,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6888.0,1722,0,1722,1706,0,0,0.0,0.0,False
router_trace_deepseek_v2,history_prefetch,2652,972,0.3665158371040724,111,5180,0,2272,1945,963,111,444,408,0.02142857142857143,0.11526479750778816,0.4386100386100386,0.08571428571428572,0.07876447876447877,0.46105919003115264,0.4236760124610592,0.2,6155.0,2199,963,1236,2183,519,293,0.5645472061657033,0.03082477089697306,False
router_trace_deepseek_v2,utility_gate,2652,930,0.3506787330316742,0,5180,3469,1711,0,0,0,0,0,0.0,0.0,0.3303088803088803,0.0,0.0,0.0,0.0,0.0,6888.0,1722,0,1722,1706,0,0,0.0,0.0,False
