workload,policy,accesses,cache_hits,cache_hit_ratio,cache_hit_from_prefetch,prefetch_candidates,prefetch_rejected,prefetch_redundant,prefetch_already_pending,prefetch_issued,prefetch_used_timely,prefetch_used_late,prefetch_unused,timely_useful_candidate_ratio,timely_useful_issued_ratio,redundant_prefetch_ratio,late_prefetch_ratio,unused_prefetch_ratio,issued_late_prefetch_ratio,issued_unused_prefetch_ratio,ready_before_consume_ratio,stall_time,bytes_moved,prefetch_bytes_moved,demand_bytes_moved,evictions,prefetch_evictions,damaging_prefetch_evictions,eviction_damage_ratio,issue_f1_proxy,phenomenon_flag
router_trace_deepseek_v2,no_prefetch,2652,1537,0.5795625942684767,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4460.0,1115,0,1115,1083,0,0,0.0,0.0,False
router_trace_deepseek_v2,history_prefetch,2652,1549,0.5840874811463047,117,5180,0,3806,918,456,117,205,134,0.022586872586872586,0.2565789473684211,0.7347490347490347,0.03957528957528957,0.025868725868725868,0.44956140350877194,0.29385964912280704,0.36335403726708076,4167.0,1354,456,898,1322,251,134,0.5338645418326693,0.032490974729241874,False
router_trace_deepseek_v2,utility_gate,2652,1537,0.5795625942684767,0,5180,1963,3217,0,0,0,0,0,0.0,0.0,0.621042471042471,0.0,0.0,0.0,0.0,0.0,4460.0,1115,0,1115,1083,0,0,0.0,0.0,False
