workload,policy,accesses,cache_hits,cache_hit_ratio,cache_hit_from_prefetch,prefetch_candidates,prefetch_rejected,prefetch_redundant,prefetch_already_pending,prefetch_issued,prefetch_used_timely,prefetch_used_late,prefetch_unused,timely_useful_candidate_ratio,timely_useful_issued_ratio,redundant_prefetch_ratio,late_prefetch_ratio,unused_prefetch_ratio,issued_late_prefetch_ratio,issued_unused_prefetch_ratio,ready_before_consume_ratio,stall_time,bytes_moved,prefetch_bytes_moved,demand_bytes_moved,evictions,prefetch_evictions,damaging_prefetch_evictions,eviction_damage_ratio,issue_f1_proxy,phenomenon_flag
router_trace_deepseek_v2,no_prefetch,2652,2360,0.889894419306184,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1168.0,292,0,292,236,0,0,0.0,0.0,False
router_trace_deepseek_v2,history_prefetch,2652,2358,0.8891402714932126,22,5180,0,5021,106,53,22,25,6,0.0042471042471042475,0.41509433962264153,0.9693050193050193,0.004826254826254826,0.0011583011583011582,0.4716981132075472,0.11320754716981132,0.46808510638297873,1141.0,322,53,269,266,28,17,0.6071428571428571,0.006109414051652319,True
router_trace_deepseek_v2,utility_gate,2652,2360,0.889894419306184,0,5180,269,4911,0,0,0,0,0,0.0,0.0,0.948069498069498,0.0,0.0,0.0,0.0,0.0,1168.0,292,0,292,236,0,0,0.0,0.0,True
