workload,policy,accesses,cache_hits,cache_hit_ratio,cache_hit_from_prefetch,prefetch_candidates,prefetch_rejected,prefetch_redundant,prefetch_already_pending,prefetch_issued,prefetch_used_timely,prefetch_used_late,prefetch_unused,timely_useful_candidate_ratio,timely_useful_issued_ratio,redundant_prefetch_ratio,late_prefetch_ratio,unused_prefetch_ratio,issued_late_prefetch_ratio,issued_unused_prefetch_ratio,ready_before_consume_ratio,stall_time,bytes_moved,prefetch_bytes_moved,demand_bytes_moved,evictions,prefetch_evictions,damaging_prefetch_evictions,eviction_damage_ratio,issue_f1_proxy,phenomenon_flag
router_trace_deepseek_v2,no_prefetch,3900,2869,0.7356410256410256,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4124.0,1031,0,1031,983,0,0,0.0,0.0,False
router_trace_deepseek_v2,history_prefetch,3900,2906,0.7451282051282051,110,12952,0,12371,351,230,110,98,22,0.008492896849907351,0.4782608695652174,0.955142063001853,0.007566399011735639,0.0016985793699814701,0.4260869565217391,0.09565217391304348,0.5288461538461539,3839.0,1126,230,896,1078,132,72,0.5454545454545454,0.013054830287206269,True
router_trace_deepseek_v2,utility_gate,3900,2869,0.7356410256410256,0,12952,636,12316,0,0,0,0,0,0.0,0.0,0.9508956145768993,0.0,0.0,0.0,0.0,0.0,4124.0,1031,0,1031,983,0,0,0.0,0.0,True
