workload,policy,accesses,cache_hits,cache_hit_ratio,cache_hit_from_prefetch,prefetch_candidates,prefetch_rejected,prefetch_redundant,prefetch_already_pending,prefetch_issued,prefetch_used_timely,prefetch_used_late,prefetch_unused,timely_useful_candidate_ratio,timely_useful_issued_ratio,redundant_prefetch_ratio,late_prefetch_ratio,unused_prefetch_ratio,issued_late_prefetch_ratio,issued_unused_prefetch_ratio,ready_before_consume_ratio,stall_time,bytes_moved,prefetch_bytes_moved,demand_bytes_moved,evictions,prefetch_evictions,damaging_prefetch_evictions,eviction_damage_ratio,issue_f1_proxy,phenomenon_flag
router_trace_deepseek_v2,no_prefetch,1404,319,0.2272079772079772,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4340.0,1085,0,1085,1069,0,0,0.0,0.0,False
router_trace_deepseek_v2,history_prefetch,1404,355,0.25284900284900286,133,4632,0,2116,1654,862,133,320,409,0.028713298791019,0.154292343387471,0.45682210708117443,0.0690846286701209,0.08829879101899828,0.37122969837587005,0.47447795823665895,0.293598233995585,3764.0,1591,862,729,1575,542,299,0.551660516605166,0.044068919814446654,False
router_trace_deepseek_v2,utility_gate,1404,319,0.2272079772079772,0,4632,2693,1939,0,0,0,0,0,0.0,0.0,0.41860967184801384,0.0,0.0,0.0,0.0,0.0,4340.0,1085,0,1085,1069,0,0,0.0,0.0,False
