run,prefetch_size,live_cache_hit,issued_used_next_ratio,issued_assignment_coverage,prefetch_redundant_ratio,loads,evicts,extra_loads,extra_evicts,avg_same_layer_jaccard,router_cache_hit,router_timely_candidate,router_issued_unused
cache16_prefetch0,0,0.5028490028490028,0.0,0.0,0.0,1298,882,0,0,0.2645729270729278,0.2571225071225071,0.028929188255613126,0.46674311926605505
cache16_prefetch4,4,0.4985754985754986,0.14285714285714285,0.014074074074074074,0.8522222222222222,1437,1021,139,139,0.260083666333667,0.25284900284900286,0.028713298791019,0.47447795823665895
cache16_prefetch8,8,0.5213675213675214,0.1282051282051282,0.03333333333333333,0.805,1629,1213,331,331,0.26136155511155584,0.254985754985755,0.030008635578583766,0.47776510832383123
