workload,policy,accesses,cache_hits,cache_hit_ratio,cache_hit_from_prefetch,prefetch_candidates,prefetch_rejected,prefetch_redundant,prefetch_already_pending,prefetch_issued,prefetch_used_timely,prefetch_used_late,prefetch_unused,timely_useful_candidate_ratio,timely_useful_issued_ratio,redundant_prefetch_ratio,late_prefetch_ratio,unused_prefetch_ratio,issued_late_prefetch_ratio,issued_unused_prefetch_ratio,ready_before_consume_ratio,stall_time,bytes_moved,prefetch_bytes_moved,demand_bytes_moved,evictions,prefetch_evictions,damaging_prefetch_evictions,eviction_damage_ratio,issue_f1_proxy,phenomenon_flag
router_trace_deepseek_v2,no_prefetch,1248,630,0.5048076923076923,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2472.0,618,0,618,602,0,0,0.0,0.0,False
router_trace_deepseek_v2,history_prefetch,1248,638,0.5112179487179487,8,500,0,187,133,180,8,143,29,0.016,0.044444444444444446,0.374,0.286,0.058,0.7944444444444444,0.16111111111111112,0.052980132450331126,2317.0,647,180,467,631,37,24,0.6486486486486487,0.014311270125223614,False
router_trace_deepseek_v2,utility_gate,1248,630,0.5048076923076923,0,500,316,184,0,0,0,0,0,0.0,0.0,0.368,0.0,0.0,0.0,0.0,0.0,2472.0,618,0,618,602,0,0,0.0,0.0,False
