event_id,stage,layer_idx,selected_expert_count,resident_hit_expert_count,resident_miss_expert_count,resident_hit_expert_ratio,assignment_count,resident_hit_assignment_count,resident_miss_assignment_count,resident_hit_assignment_ratio,gpu_assignment_count,cpu_assignment_count,gpu_assignment_ratio,cpu_assignment_ratio,cache_load_size,prefetch_size
2852,decode,1,6,2,4,0.3333333333333333,6,2,4,0.3333333333333333,5,1,0.8333333333333334,0.16666666666666666,16,0
2860,decode,2,6,4,2,0.6666666666666666,6,4,2,0.6666666666666666,5,1,0.8333333333333334,0.16666666666666666,16,0
2864,decode,3,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
2870,decode,4,6,1,5,0.16666666666666666,6,1,5,0.16666666666666666,5,1,0.8333333333333334,0.16666666666666666,16,0
2880,decode,5,6,4,2,0.6666666666666666,6,4,2,0.6666666666666666,5,1,0.8333333333333334,0.16666666666666666,16,0
2884,decode,6,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
2890,decode,7,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
2896,decode,8,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
2902,decode,9,6,4,2,0.6666666666666666,6,4,2,0.6666666666666666,5,1,0.8333333333333334,0.16666666666666666,16,0
2906,decode,10,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
2912,decode,11,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
2918,decode,12,6,2,4,0.3333333333333333,6,2,4,0.3333333333333333,5,1,0.8333333333333334,0.16666666666666666,16,0
2926,decode,13,6,2,4,0.3333333333333333,6,2,4,0.3333333333333333,5,1,0.8333333333333334,0.16666666666666666,16,0
2934,decode,14,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
2940,decode,15,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
2946,decode,16,6,4,2,0.6666666666666666,6,4,2,0.6666666666666666,5,1,0.8333333333333334,0.16666666666666666,16,0
2950,decode,17,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
2956,decode,18,6,2,4,0.3333333333333333,6,2,4,0.3333333333333333,5,1,0.8333333333333334,0.16666666666666666,16,0
2964,decode,19,6,4,2,0.6666666666666666,6,4,2,0.6666666666666666,5,1,0.8333333333333334,0.16666666666666666,16,0
2968,decode,20,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
2974,decode,21,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
2980,decode,22,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
2986,decode,23,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
2992,decode,24,6,2,4,0.3333333333333333,6,2,4,0.3333333333333333,5,1,0.8333333333333334,0.16666666666666666,16,0
3000,decode,25,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
3006,decode,26,6,0,6,0.0,6,0,6,0.0,4,2,0.6666666666666666,0.3333333333333333,16,0
3015,decode,1,6,1,5,0.16666666666666666,6,1,5,0.16666666666666666,5,1,0.8333333333333334,0.16666666666666666,16,0
3025,decode,2,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
3031,decode,3,6,2,4,0.3333333333333333,6,2,4,0.3333333333333333,5,1,0.8333333333333334,0.16666666666666666,16,0
3039,decode,4,6,2,4,0.3333333333333333,6,2,4,0.3333333333333333,5,1,0.8333333333333334,0.16666666666666666,16,0
3047,decode,5,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
3053,decode,6,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
3059,decode,7,6,1,5,0.16666666666666666,6,1,5,0.16666666666666666,5,1,0.8333333333333334,0.16666666666666666,16,0
3069,decode,8,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
3075,decode,9,6,4,2,0.6666666666666666,6,4,2,0.6666666666666666,5,1,0.8333333333333334,0.16666666666666666,16,0
3079,decode,10,6,4,2,0.6666666666666666,6,4,2,0.6666666666666666,5,1,0.8333333333333334,0.16666666666666666,16,0
3083,decode,11,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
3089,decode,12,6,2,4,0.3333333333333333,6,2,4,0.3333333333333333,5,1,0.8333333333333334,0.16666666666666666,16,0
3097,decode,13,6,2,4,0.3333333333333333,6,2,4,0.3333333333333333,5,1,0.8333333333333334,0.16666666666666666,16,0
3105,decode,14,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
3111,decode,15,6,4,2,0.6666666666666666,6,4,2,0.6666666666666666,5,1,0.8333333333333334,0.16666666666666666,16,0
3115,decode,16,6,1,5,0.16666666666666666,6,1,5,0.16666666666666666,5,1,0.8333333333333334,0.16666666666666666,16,0
3125,decode,17,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
3131,decode,18,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,16,0
3133,decode,19,6,4,2,0.6666666666666666,6,4,2,0.6666666666666666,5,1,0.8333333333333334,0.16666666666666666,16,0
3137,decode,20,6,4,2,0.6666666666666666,6,4,2,0.6666666666666666,5,1,0.8333333333333334,0.16666666666666666,16,0
3141,decode,21,6,2,4,0.3333333333333333,6,2,4,0.3333333333333333,5,1,0.8333333333333334,0.16666666666666666,16,0
3149,decode,22,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
3155,decode,23,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
3161,decode,24,6,1,5,0.16666666666666666,6,1,5,0.16666666666666666,5,1,0.8333333333333334,0.16666666666666666,16,0
3171,decode,25,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
3177,decode,26,6,0,6,0.0,6,0,6,0.0,4,2,0.6666666666666666,0.3333333333333333,16,0
3186,decode,1,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
3192,decode,2,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,16,0
3194,decode,3,6,4,2,0.6666666666666666,6,4,2,0.6666666666666666,5,1,0.8333333333333334,0.16666666666666666,16,0
3198,decode,4,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
3204,decode,5,6,4,2,0.6666666666666666,6,4,2,0.6666666666666666,5,1,0.8333333333333334,0.16666666666666666,16,0
3208,decode,6,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,16,0
3210,decode,7,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,16,0
3212,decode,8,6,4,2,0.6666666666666666,6,4,2,0.6666666666666666,5,1,0.8333333333333334,0.16666666666666666,16,0
3216,decode,9,6,5,1,0.8333333333333334,6,5,1,0.8333333333333334,5,1,0.8333333333333334,0.16666666666666666,16,0
3218,decode,10,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
3224,decode,11,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
3230,decode,12,6,4,2,0.6666666666666666,6,4,2,0.6666666666666666,5,1,0.8333333333333334,0.16666666666666666,16,0
3234,decode,13,6,1,5,0.16666666666666666,6,1,5,0.16666666666666666,5,1,0.8333333333333334,0.16666666666666666,16,0
3244,decode,14,6,2,4,0.3333333333333333,6,2,4,0.3333333333333333,5,1,0.8333333333333334,0.16666666666666666,16,0
3252,decode,15,6,4,2,0.6666666666666666,6,4,2,0.6666666666666666,5,1,0.8333333333333334,0.16666666666666666,16,0
3256,decode,16,6,1,5,0.16666666666666666,6,1,5,0.16666666666666666,5,1,0.8333333333333334,0.16666666666666666,16,0
3266,decode,17,6,1,5,0.16666666666666666,6,1,5,0.16666666666666666,5,1,0.8333333333333334,0.16666666666666666,16,0
3276,decode,18,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
3282,decode,19,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
3288,decode,20,6,2,4,0.3333333333333333,6,2,4,0.3333333333333333,5,1,0.8333333333333334,0.16666666666666666,16,0
3296,decode,21,6,2,4,0.3333333333333333,6,2,4,0.3333333333333333,5,1,0.8333333333333334,0.16666666666666666,16,0
3304,decode,22,6,2,4,0.3333333333333333,6,2,4,0.3333333333333333,5,1,0.8333333333333334,0.16666666666666666,16,0
3312,decode,23,6,1,5,0.16666666666666666,6,1,5,0.16666666666666666,5,1,0.8333333333333334,0.16666666666666666,16,0
3322,decode,24,6,4,2,0.6666666666666666,6,4,2,0.6666666666666666,5,1,0.8333333333333334,0.16666666666666666,16,0
3326,decode,25,6,2,4,0.3333333333333333,6,2,4,0.3333333333333333,5,1,0.8333333333333334,0.16666666666666666,16,0
3334,decode,26,6,2,4,0.3333333333333333,6,2,4,0.3333333333333333,5,1,0.8333333333333334,0.16666666666666666,16,0
3341,decode,1,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
3347,decode,2,6,1,5,0.16666666666666666,6,1,5,0.16666666666666666,5,1,0.8333333333333334,0.16666666666666666,16,0
3357,decode,3,6,2,4,0.3333333333333333,6,2,4,0.3333333333333333,5,1,0.8333333333333334,0.16666666666666666,16,0
3365,decode,4,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
3371,decode,5,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
3377,decode,6,6,1,5,0.16666666666666666,6,1,5,0.16666666666666666,5,1,0.8333333333333334,0.16666666666666666,16,0
3387,decode,7,6,1,5,0.16666666666666666,6,1,5,0.16666666666666666,5,1,0.8333333333333334,0.16666666666666666,16,0
3397,decode,8,6,4,2,0.6666666666666666,6,4,2,0.6666666666666666,5,1,0.8333333333333334,0.16666666666666666,16,0
3401,decode,9,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
3407,decode,10,6,2,4,0.3333333333333333,6,2,4,0.3333333333333333,5,1,0.8333333333333334,0.16666666666666666,16,0
3415,decode,11,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
3421,decode,12,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
3427,decode,13,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
3433,decode,14,6,4,2,0.6666666666666666,6,4,2,0.6666666666666666,5,1,0.8333333333333334,0.16666666666666666,16,0
3437,decode,15,6,4,2,0.6666666666666666,6,4,2,0.6666666666666666,5,1,0.8333333333333334,0.16666666666666666,16,0
3441,decode,16,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
3447,decode,17,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
3453,decode,18,6,4,2,0.6666666666666666,6,4,2,0.6666666666666666,5,1,0.8333333333333334,0.16666666666666666,16,0
3457,decode,19,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
3463,decode,20,6,2,4,0.3333333333333333,6,2,4,0.3333333333333333,5,1,0.8333333333333334,0.16666666666666666,16,0
3471,decode,21,6,3,3,0.5,6,3,3,0.5,5,1,0.8333333333333334,0.16666666666666666,16,0
