prefetch_event_id,placement_event_id,target_layer_idx,stage,prefetch_candidate_count,issued_load_count,selected_expert_count,candidate_overlap_count,issued_overlap_count,candidate_overlap_ratio,issued_overlap_ratio,placement_assignment_count,candidate_overlap_assignment_count,issued_overlap_assignment_count,candidate_overlap_assignment_ratio,issued_overlap_assignment_ratio
3031,3032,2,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3033,3034,3,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3035,3036,4,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3037,3038,5,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3039,3040,6,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3041,3042,7,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3043,3044,8,decode,4,0,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3045,3046,9,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3047,3048,10,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3053,3054,11,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3055,3056,12,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3057,3058,13,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3059,3060,14,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3063,3064,15,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3065,3066,16,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3067,3068,17,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3069,3070,18,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3071,3072,19,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3073,3074,20,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3075,3076,21,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3077,3078,22,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3079,3080,23,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3085,3086,24,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3089,3090,25,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3091,3092,26,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3102,3103,2,decode,4,1,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3104,3105,3,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3112,3113,4,decode,4,1,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3116,3117,5,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3118,3119,6,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3124,3125,7,decode,4,2,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3126,3127,8,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3130,3131,9,decode,4,1,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3134,3135,10,decode,4,1,6,1,1,0.25,1.0,6,1,1,0.16666666666666666,0.16666666666666666
3138,3139,11,decode,4,1,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3140,3141,12,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3142,3143,13,decode,4,0,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3146,3147,14,decode,4,1,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3148,3149,15,decode,4,0,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3152,3153,16,decode,4,1,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3156,3157,17,decode,4,1,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3158,3159,18,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3160,3161,19,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3162,3163,20,decode,4,0,6,3,0,0.75,0.0,6,3,0,0.5,0.0
3164,3165,21,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3166,3167,22,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3172,3173,23,decode,4,2,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3176,3177,24,decode,4,1,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3180,3181,25,decode,4,1,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3182,3183,26,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3201,3202,2,decode,4,2,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3205,3206,3,decode,4,1,6,3,0,0.75,0.0,6,3,0,0.5,0.0
3207,3208,4,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3209,3210,5,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3211,3212,6,decode,4,0,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3215,3216,7,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3219,3220,8,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3223,3224,9,decode,4,1,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3225,3226,10,decode,4,0,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3233,3234,11,decode,4,2,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3237,3238,12,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3239,3240,13,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3245,3246,14,decode,4,1,6,3,0,0.75,0.0,6,3,0,0.5,0.0
3251,3252,15,decode,4,0,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3257,3258,16,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3267,3268,17,decode,4,1,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3273,3274,18,decode,4,1,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3277,3278,19,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3281,3282,20,decode,4,0,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3289,3290,21,decode,4,1,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3295,3296,22,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3301,3302,23,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3309,3310,24,decode,4,1,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3313,3314,25,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3319,3320,26,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3332,3333,2,decode,4,1,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3338,3339,3,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3342,3343,4,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3346,3347,5,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3352,3353,6,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3360,3361,7,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3366,3367,8,decode,4,0,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3370,3371,9,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3376,3377,10,decode,4,0,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3382,3383,11,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3384,3385,12,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3390,3391,13,decode,4,1,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3392,3393,14,decode,4,0,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3396,3397,15,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3400,3401,16,decode,4,0,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3404,3405,17,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3410,3411,18,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3414,3415,19,decode,4,1,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3418,3419,20,decode,4,0,6,3,0,0.75,0.0,6,3,0,0.5,0.0
3424,3425,21,decode,4,2,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3426,3427,22,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3428,3429,23,decode,4,0,6,3,0,0.75,0.0,6,3,0,0.5,0.0
3430,3431,24,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3434,3435,25,decode,4,0,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3440,3441,26,decode,4,1,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3445,3446,2,decode,4,1,6,2,1,0.5,1.0,6,2,1,0.3333333333333333,0.16666666666666666
3447,3448,3,decode,4,0,6,3,0,0.75,0.0,6,3,0,0.5,0.0
3451,3452,4,decode,4,1,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3459,3460,5,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3461,3462,6,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3465,3466,7,decode,4,1,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3467,3468,8,decode,4,0,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3469,3470,9,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3475,3476,10,decode,4,0,6,3,0,0.75,0.0,6,3,0,0.5,0.0
3477,3478,11,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3481,3482,12,decode,4,0,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3485,3486,13,decode,4,1,6,2,1,0.5,1.0,6,2,1,0.3333333333333333,0.16666666666666666
3489,3490,14,decode,4,1,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3491,3492,15,decode,4,0,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3497,3498,16,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3503,3504,17,decode,4,0,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3505,3506,18,decode,4,0,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3511,3512,19,decode,4,1,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3515,3516,20,decode,4,0,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3519,3520,21,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3525,3526,22,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3527,3528,23,decode,4,0,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3531,3532,24,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3537,3538,25,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3543,3544,26,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3552,3553,2,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3558,3559,3,decode,4,0,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3568,3569,4,decode,4,1,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3572,3573,5,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3578,3579,6,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3586,3587,7,decode,4,1,6,2,1,0.5,1.0,6,2,1,0.3333333333333333,0.16666666666666666
3588,3589,8,decode,4,0,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3590,3591,9,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3596,3597,10,decode,4,0,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3602,3603,11,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3610,3611,12,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3616,3617,13,decode,4,1,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3624,3625,14,decode,4,1,6,3,0,0.75,0.0,6,3,0,0.5,0.0
3626,3627,15,decode,4,0,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3628,3629,16,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3634,3635,17,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3640,3641,18,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3644,3645,19,decode,4,1,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3648,3649,20,decode,4,0,6,3,0,0.75,0.0,6,3,0,0.5,0.0
3650,3651,21,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3654,3655,22,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3660,3661,23,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3668,3669,24,decode,4,0,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3670,3671,25,decode,4,0,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3676,3677,26,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3691,3692,2,decode,4,2,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3697,3698,3,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3699,3700,4,decode,4,0,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3701,3702,5,decode,4,0,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3705,3706,6,decode,4,1,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3709,3710,7,decode,4,1,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3715,3716,8,decode,4,2,6,3,1,0.75,0.5,6,3,1,0.5,0.16666666666666666
3717,3718,9,decode,4,0,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3719,3720,10,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3721,3722,11,decode,4,0,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3725,3726,12,decode,4,1,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3727,3728,13,decode,4,0,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3731,3732,14,decode,4,1,6,4,1,1.0,1.0,6,4,1,0.6666666666666666,0.16666666666666666
3735,3736,15,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3737,3738,16,decode,4,0,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3741,3742,17,decode,4,0,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3747,3748,18,decode,4,1,6,3,1,0.75,1.0,6,3,1,0.5,0.16666666666666666
3749,3750,19,decode,4,0,6,1,0,0.25,0.0,6,1,0,0.16666666666666666,0.0
3755,3756,20,decode,4,1,6,2,0,0.5,0.0,6,2,0,0.3333333333333333,0.0
3759,3760,21,decode,4,1,6,0,0,0.0,0.0,6,0,0,0.0,0.0
3765,3766,22,decode,4,1,6,2,1,0.5,1.0,6,2,1,0.3333333333333333,0.16666666666666666
